bert_match_type,llm_match_type,eth_match_type,bert_label_gold,bert_gold_start,bert_gold_end,bert_gold_text,bert_sentence
N,N,N,ae,106.0,111.0,Fatal,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,113.0,124.0,Hypotension,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,134.0,145.0,Tachycardia,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,155.0,172.0,Acute lung injury,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,182.0,217.0,Acute respiratory distress syndrome,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,227.0,231.0,Coma,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,241.0,255.0,CNS depression,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,265.0,283.0,Metabolic acidosis,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,293.0,305.0,Coagulopathy,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,315.0,327.0,Hypoglycemia,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,337.0,355.0,Abnormal anion gap,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,365.0,379.0,Hepatotoxicity,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,389.0,408.0,Acute kidney injury,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,M,N,ae,418.0,432.0,Rhabdomyolysis,"  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
M,C,N,cdrug,31.0,40.0,Oestrogel,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,N,M,cdrug,42.0,51.0,estradiol,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,C,N,cdrug,54.0,64.0,Foliumzuur,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,N,C,cdrug,66.0,76.0,folic acid,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,M,C,cdrug,79.0,90.0,paracetamol,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,C,N,cdrug,92.0,102.0,Utrogestan,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,N,M,cdrug,104.0,116.0,progesterone,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,C,N,cdrug,122.0,130.0,Emconcor,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,N,M,cdrug,132.0,151.0,bisoprolol fumarate,"  Concomitant medications were Oestrogel (estradiol), Foliumzuur (folic acid), paracetamol, Utrogestan (progesterone) and Emconcor (bisoprolol fumarate)."
M,N,N,ae,74.0,80.0,anemia,  Event of ASTHENIA - Investigator: Not applicable - AbbVie: Secondary to anemia from underlying AML   Alternative Etiology for AZACITIDINE (Open Label) ------------------------------------------------- Event of SUDDEN DEATH - Investigator: More likely related to ABT-199 (Ventoclax). -
M,N,N,sex,144.0,149.0,males,"  In a prospective study of the patients identified from the toxicology investigators consortium case registry (ToxIC), fifty five patients [21 males and 34 females; aged between 3 month-89 years; not all ages stated] were described, who developed various drug toxicities."
M,N,N,sex,157.0,164.0,females,"  In a prospective study of the patients identified from the toxicology investigators consortium case registry (ToxIC), fifty five patients [21 males and 34 females; aged between 3 month-89 years; not all ages stated] were described, who developed various drug toxicities."
M,N,N,age,166.0,195.0,aged between 3 month-89 years,"  In a prospective study of the patients identified from the toxicology investigators consortium case registry (ToxIC), fifty five patients [21 males and 34 females; aged between 3 month-89 years; not all ages stated] were described, who developed various drug toxicities."
M,N,N,ae,248.0,271.0,various drug toxicities,"  In a prospective study of the patients identified from the toxicology investigators consortium case registry (ToxIC), fifty five patients [21 males and 34 females; aged between 3 month-89 years; not all ages stated] were described, who developed various drug toxicities."
N,C,C,ae,47.0,59.0,sudden death,  Investigator causality assessment: The event sudden death NOS was related to nivolumab and azacitidine therapies.
M,M,C,medical history,27.0,43.0,thrombocytopenia,  Medical history included thrombocytopenia.
C,C,N,sdrug,42.0,75.0,Tradolan (tramadol hydrochloride),  Non-company suspect medication included Tradolan (tramadol hydrochloride).
M,C,N,temporal,5.0,16.0,22-Jul-2020,"  On 22-Jul-2020, the subject started NIVOLUMAB (unknown route), (225 milligram per day)."
M,M,N,dose,66.0,87.0,225 milligram per day,"  On 22-Jul-2020, the subject started NIVOLUMAB (unknown route), (225 milligram per day)."
N,N,C,ae,162.0,170.0,migraine,"  The case was assessed as serious for the events anxiety, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection (medically significant and disability). “"
M,N,N,status,76.0,85.0,recovered,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
N,N,N,temporal,92.0,104.0,unknown date,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
M,N,C,ae,106.0,129.0,blood pressure abnormal,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
N,N,C,ae,131.0,147.0,cluster headache,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
N,N,N,ae,209.0,217.0,migraine,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
M,N,N,status,436.0,449.0,not recovered,"  The outcome of the events shock symptom, anxiety and drug ineffective was recovered on an unknown date, blood pressure abnormal, cluster headache, constipation, depression, diarrhoea, dysarthria, hemiplegic migraine, influenza, lower respiratory tract infection, malaise, migraine, muscle spasms, oropharyngeal pain, pain, palpitations, personality change, pyrexia, serotonin syndrome, speech disorder, tremor and viral infection was not recovered."
C,C,N,ae,24.0,72.0,"TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY","  The patient died from TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY."
M,M,N,age,62.0,73.0,68-year-old,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,M,N,sex,74.0,80.0,female,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,M,N,ae,116.0,132.0,drug interaction,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,M,M,sdrug,141.0,151.0,omeprazole,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,C,N,sdrug,185.0,197.0,Ledertrexate,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,N,M,sdrug,199.0,211.0,methotrexate,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,C,C,sdrug,214.0,221.0,Feldene,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,N,N,sdrug,223.0,232.0,piroxicam,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,C,C,sdrug,238.0,246.0,Olumiant,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,N,N,sdrug,248.0,259.0,baricitinib,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,M,M,ae,277.0,305.0,hypersensitivity pneumonitis,"  This case, received from a physician in Belgium, involved a 68-year-old female patient who reportedly experienced drug interaction between omeprazole and Non-company suspect included Ledertrexate (methotrexate), Feldene (piroxicam) and Olumiant (baricitinib) and experienced hypersensitivity pneumonitis."
M,N,N,temporal,2.0,22.0,Unknown Date in 2009,"  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
M,N,M,sdrug,46.0,56.0,omeprazole,"  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
M,N,N,dose,58.0,74.0,"20 milligram, qd","  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
C,N,C,treatment,86.0,97.0,prophylaxis,"  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
M,N,N,dose,122.0,127.0,10 mg,"  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
C,N,N,dose,129.0,145.0,"10 milligram, qd","  Unknown Date in 2009: The patient initiated omeprazole (20 milligram, qd, oral) for prophylaxis and Feldene (piroxicam) 10 mg (10 milligram, qd, oral for rheumatoid arthritis."
M,C,N,temporal,1.0,11.0,2015/07/01," 2015/07/01 blood culture negative, 2015/07/07 wound culture: staph."
M,N,C,lab,12.0,34.0,blood culture negative," 2015/07/01 blood culture negative, 2015/07/07 wound culture: staph."
M,C,N,temporal,36.0,46.0,2015/07/07," 2015/07/01 blood culture negative, 2015/07/07 wound culture: staph."
C,N,N,lab,47.0,67.0,wound culture: staph," 2015/07/01 blood culture negative, 2015/07/07 wound culture: staph."
M,C,N,temporal,1.0,11.0,2015/07/08," 2015/07/08  Cardio echo conclusion: Adequate LVP and  RVP, dILATED LA,  mild MR, TR."
M,C,N,temporal,1.0,11.0,2015/07/08," 2015/07/08  EKG data: Sinus rhythm with premature atrial  complexes prolonged QT, QTcF:460."
C,N,C,lab,23.0,57.0,Sinus rhythm with premature atrial," 2015/07/08  EKG data: Sinus rhythm with premature atrial  complexes prolonged QT, QTcF:460."
M,M,N,age,3.0,14.0,73-year-old," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
M,M,N,sex,15.0,19.0,male," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
M,M,N,dose,90.0,111.0,100 mg daily x 7 days," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
M,C,N,temporal,117.0,126.0,14Mar2011," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
M,C,N,temporal,130.0,139.0,20Mar2011," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
C,C,C,medical history,161.0,185.0,myelodysplastic syndrome," A 73-year-old male patient who initiated Cycle 1 of study medication, intravenous Vidaza 100 mg daily x 7 days from 14Mar2011 to 20Mar2011 for the treatment of myelodysplastic syndrome."
M,N,C,treatment,14.0,47.0,10% dextrose intravenous infusion," A continuous 10% dextrose intravenous infusion (100 mL per hour for 24 hours) was needed to maintain her blood glucose level around 90 mg/dL (5 mmol/L), despite her normal meal intake orally during this period."
C,N,N,dose,49.0,77.0,100 mL per hour for 24 hours," A continuous 10% dextrose intravenous infusion (100 mL per hour for 24 hours) was needed to maintain her blood glucose level around 90 mg/dL (5 mmol/L), despite her normal meal intake orally during this period."
C,N,C,lab,106.0,152.0,blood glucose level around 90 mg/dL (5 mmol/L)," A continuous 10% dextrose intravenous infusion (100 mL per hour for 24 hours) was needed to maintain her blood glucose level around 90 mg/dL (5 mmol/L), despite her normal meal intake orally during this period."
M,M,N,cdrug,45.0,53.0,Kalimate," Additional concomitant medications included Kalimate, Celecox, Mucosta, Itorat and Biofermin R.  According to the reporting physician, blast cells in peripheral blood decreased dramatically after Vidaza administration."
M,M,N,cdrug,55.0,62.0,Celecox," Additional concomitant medications included Kalimate, Celecox, Mucosta, Itorat and Biofermin R.  According to the reporting physician, blast cells in peripheral blood decreased dramatically after Vidaza administration."
M,M,N,cdrug,64.0,71.0,Mucosta," Additional concomitant medications included Kalimate, Celecox, Mucosta, Itorat and Biofermin R.  According to the reporting physician, blast cells in peripheral blood decreased dramatically after Vidaza administration."
M,M,N,cdrug,73.0,79.0,Itorat," Additional concomitant medications included Kalimate, Celecox, Mucosta, Itorat and Biofermin R.  According to the reporting physician, blast cells in peripheral blood decreased dramatically after Vidaza administration."
M,N,N,lab,136.0,190.0,blast cells in peripheral blood decreased dramatically," Additional concomitant medications included Kalimate, Celecox, Mucosta, Itorat and Biofermin R.  According to the reporting physician, blast cells in peripheral blood decreased dramatically after Vidaza administration."
M,C,N,ae,39.0,59.0,grade 3 qt prolonged," Additional event(s) included severe - grade 3 qt prolonged on 7th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required and grade 5 acute respiratory failure on 10th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required."
M,C,N,temporal,63.0,76.0,7th July 2015," Additional event(s) included severe - grade 3 qt prolonged on 7th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required and grade 5 acute respiratory failure on 10th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required."
M,N,N,status,102.0,107.0,death," Additional event(s) included severe - grade 3 qt prolonged on 7th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required and grade 5 acute respiratory failure on 10th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required."
C,M,N,ae,213.0,238.0,acute respiratory failure," Additional event(s) included severe - grade 3 qt prolonged on 7th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required and grade 5 acute respiratory failure on 10th July 2015 with serious criteria of death, hospitalization, GSK medically significant and clinically significant/intervention required."
